pid,rank,name,link,points,points_moved,tourneys_played,points_losing,points_gaining
d643,1,Novak Djokovic,/en/players/novak-djokovic/d643/overview,"9,675",-180,18,-,-
a0e2,2,Carlos Alcaraz,/en/players/carlos-alcaraz/a0e2/overview,"8,805",-,18,"1,000",-
s0ag,3,Jannik Sinner,/en/players/jannik-sinner/s0ag/overview,"8,270",-,20,360,-
mm58,4,Daniil Medvedev,/en/players/daniil-medvedev/mm58/overview,"7,715",-300,19,600,-
re44,5,Andrey Rublev,/en/players/andrey-rublev/re44/overview,"5,010",-100,24,90,45
z355,6,Alexander Zverev,/en/players/alexander-zverev/z355/overview,"4,950",-135,26,90,45
r0dg,7,Holger Rune,/en/players/holger-rune/r0dg/overview,"3,720",+20,23,45,10
hb71,8,Hubert Hurkacz,/en/players/hubert-hurkacz/hb71/overview,"3,405",+10,24,45,10
rh16,9,Casper Ruud,/en/players/casper-ruud/rh16/overview,"3,405",+285,24,45,45
dh58,10,Alex de Minaur,/en/players/alex-de-minaur/dh58/overview,"3,210",-,25,10,45
dh58,10,Alex de Minaur,/en/players/alex-de-minaur/dh58/overview,"3,210",-,25,10,45
te51,11,Stefanos Tsitsipas,/en/players/stefanos-tsitsipas/te51/overview,"3,170",+90,25,-,-
fb98,12,Taylor Fritz,/en/players/taylor-fritz/fb98/overview,"3,015",-135,25,180,45
d875,13,Grigor Dimitrov,/en/players/grigor-dimitrov/d875/overview,"2,880",-45,24,-,-
hh26,14,Ugo Humbert,/en/players/ugo-humbert/hh26/overview,"2,415",+425,29,45,50
ke29,15,Karen Khachanov,/en/players/karen-khachanov/ke29/overview,"2,300",+40,23,45,10
s0s1,16,Ben Shelton,/en/players/ben-shelton/s0s1/overview,"2,145",+90,27,25,10
pl56,17,Tommy Paul,/en/players/tommy-paul/pl56/overview,"2,120",-255,27,90,45
td51,18,Frances Tiafoe,/en/players/frances-tiafoe/td51/overview,"2,115",-40,23,360,10
b0bi,19,Sebastian Baez,/en/players/sebastian-baez/b0bi/overview,"1,985",+160,30,45,10
bk92,20,Alexander Bublik,/en/players/alexander-bublik/bk92/overview,"1,984",+285,30,32,10
me82,21,Adrian Mannarino,/en/players/adrian-mannarino/me82/overview,"1,950",-,29,45,11
c0au,22,Francisco Cerundolo,/en/players/francisco-cerundolo/c0au/overview,"1,840",-,26,45,-
dh50,23,Alejandro Davidovich Fokina,/en/players/alejandro-davidovich-fokina/dh50/overview,"1,595",+55,25,180,10
j551,24,Nicolas Jarry,/en/players/nicolas-jarry/j551/overview,"1,575",-200,24,-,-
sl28,25,Jan-Lennard Struff,/en/players/jan-lennard-struff/sl28/overview,"1,531",-,27,107,20
m0ej,26,Lorenzo Musetti,/en/players/lorenzo-musetti/m0ej/overview,"1,480",-,29,10,25
gj37,27,Tallon Griekspoor,/en/players/tallon-griekspoor/gj37/overview,"1,445",+5,26,45,20
n771,28,Cameron Norrie,/en/players/cameron-norrie/n771/overview,"1,380",-,25,180,10
k0ah,29,Sebastian Korda,/en/players/sebastian-korda/k0ah/overview,"1,345",+100,23,-,-
ea24,30,Tomas Martin Etcheverry,/en/players/tomas-martin-etcheverry/ea24/overview,"1,335",-135,28,10,10
ag37,31,Felix Auger-Aliassime,/en/players/felix-auger-aliassime/ag37/overview,"1,295",-45,22,180,-
l0bv,32,Jiri Lehecka,/en/players/jiri-lehecka/l0bv/overview,"1,260",+80,28,25,20
tc61,33,Jordan Thompson,/en/players/jordan-thompson/tc61/overview,"1,246",-,29,45,26
e865,34,Christopher Eubanks,/en/players/christopher-eubanks/e865/overview,"1,234",-,24,-,-
cg80,35,Borna Coric,/en/players/borna-coric/cg80/overview,"1,194",-80,24,10,-
db63,36,Laslo Djere,/en/players/laslo-djere/db63/overview,"1,190",-35,24,-,-
d0co,37,Jack Draper,/en/players/jack-draper/d0co/overview,"1,151",+200,20,90,-
o513,38,Sebastian Ofner,/en/players/sebastian-ofner/o513/overview,"1,116",+25,32,50,25
te30,39,Alejandro Tabilo,/en/players/alejandro-tabilo/te30/overview,"1,116",+165,24,106,-
a0fc,40,Matteo Arnaldi,/en/players/matteo-arnaldi/a0fc/overview,"1,091",+30,25,-,-
p09z,41,Alexei Popyrin,/en/players/alexei-popyrin/p09z/overview,"1,087",-,24,65,20
sx50,42,Roman Safiullin,/en/players/roman-safiullin/sx50/overview,"1,080",-,22,25,-
f0f1,43,Arthur Fils,/en/players/arthur-fils/f0f1/overview,"1,078",+50,24,-,-
kc56,44,Aslan Karatsev,/en/players/aslan-karatsev/kc56/overview,"1,073",-,17,-,-
e687,45,Daniel Evans,/en/players/daniel-evans/e687/overview,"1,066",-,27,10,-
rh24,46,Emil Ruusuvuori,/en/players/emil-ruusuvuori/rh24/overview,"1,041",-,26,45,20
ki95,47,Miomir Kecmanovic,/en/players/miomir-kecmanovic/ki95/overview,"1,030",+90,31,10,10
gc88,48,Marcos Giron,/en/players/marcos-giron/gc88/overview,"1,015",-,28,25,10
ke73,49,Dominik Koepfer,/en/players/dominik-koepfer/ke73/overview,"1,008",+90,24,-,-
z371,50,Zhizhen Zhang,/en/players/zhizhen-zhang/z371/overview,"1,006",-,27,41,20
s0h2,51,Alexander Shevchenko,/en/players/alexander-shevchenko/s0h2/overview,"1,000",-,33,106,20
d0cg,52,Facundo Diaz Acosta,/en/players/facundo-diaz-acosta/d0cg/overview,963,+15,29,30,10
ae14,53,Daniel Altmaier,/en/players/daniel-altmaier/ae14/overview,961,+40,28,20,10
mc65,54,Gael Monfils,/en/players/gael-monfils/mc65/overview,937,-,23,10,-
su87,55,Lorenzo Sonego,/en/players/lorenzo-sonego/su87/overview,935,-40,27,-,-
l987,56,Dusan Lajovic,/en/players/dusan-lajovic/l987/overview,927,+5,23,-,-
h997,57,Yannick Hanfmann,/en/players/yannick-hanfmann/h997/overview,920,-47,27,-,-
m0ci,58,Fabian Marozsan,/en/players/fabian-marozsan/m0ci/overview,914,-,27,92,13
n0bs,59,Mariano Navone,/en/players/mariano-navone/n0bs/overview,906,-,26,7,-
bt72,60,Nuno Borges,/en/players/nuno-borges/bt72/overview,887,-35,28,175,9
mc10,61,Andy Murray,/en/players/andy-murray/mc10/overview,885,+40,27,45,10
c0e9,62,Flavio Cobolli,/en/players/flavio-cobolli/c0e9/overview,880,+55,34,-,-
m0fh,63,Tomas Machac,/en/players/tomas-machac/m0fh/overview,868,+5,23,-,-
cf59,64,Roberto Carballes Baena,/en/players/roberto-carballes-baena/cf59/overview,831,-20,31,10,-
sx91,65,Thiago Seyboth Wild,/en/players/thiago-seyboth-wild/sx91/overview,820,+18,25,129,7
o483,66,Christopher O'Connell,/en/players/christopher-o'connell/o483/overview,819,-15,31,-,-
k09f,67,Pavel Kotov,/en/players/pavel-kotov/k09f/overview,819,-59,22,6,-
mk66,68,Mackenzie McDonald,/en/players/mackenzie-mcdonald/mk66/overview,815,-80,26,25,10
v832,69,Aleksandar Vukic,/en/players/aleksandar-vukic/v832/overview,801,-8,30,47,7
w367,70,Stan Wawrinka,/en/players/stan-wawrinka/w367/overview,797,-,21,90,-
ph71,71,Max Purcell,/en/players/max-purcell/ph71/overview,796,-90,31,-,-
n732,72,Yoshihito Nishioka,/en/players/yoshihito-nishioka/n732/overview,788,+63,23,10,-
d0fj,73,Luciano Darderi,/en/players/luciano-darderi/d0fj/overview,787,+40,30,16,-
f724,74,Marton Fucsovics,/en/players/marton-fucsovics/f724/overview,782,+25,23,90,-
mu94,75,Jaume Munar,/en/players/jaume-munar/mu94/overview,776,-40,30,-,-
da81,76,Taro Daniel,/en/players/taro-daniel/da81/overview,773,-97,28,61,11
c0h0,77,Arthur Cazaux,/en/players/arthur-cazaux/c0h0/overview,769,+68,26,-,-
h0bh,78,Rinky Hijikata,/en/players/rinky-hijikata/h0bh/overview,754,+2,30,41,11
cg04,79,Pedro Cachin,/en/players/pedro-cachin/cg04/overview,754,-,29,25,10
m0qi,80,Alex Michelsen,/en/players/alex-michelsen/m0qi/overview,754,-22,26,-,-
m0ni,81,Jakub Mensik,/en/players/jakub-mensik/m0ni/overview,751,+50,23,-,-
v812,82,Botic van de Zandschulp,/en/players/botic-van-de-zandschulp/v812/overview,750,-40,25,10,-
rc91,83,Arthur Rinderknech,/en/players/arthur-rinderknech/rc91/overview,720,+55,29,10,10
ge33,84,Daniel Elahi Galan,/en/players/daniel-elahi-galan/ge33/overview,709,-,29,10,10
g09o,85,Hugo Gaston,/en/players/hugo-gaston/g09o/overview,704,-,29,50,8
v0dz,86,Luca Van Assche,/en/players/luca-van-assche/v0dz/overview,696,-112,24,-,-
gd64,87,Cristian Garin,/en/players/cristian-garin/gd64/overview,690,-20,23,106,-
mp20,88,Alexandre Muller,/en/players/alexandre-muller/mp20/overview,689,-40,29,-,-
mo44,89,Pedro Martinez,/en/players/pedro-martinez/mo44/overview,687,+91,31,25,9
ce77,90,Federico Coria,/en/players/federico-coria/ce77/overview,687,+9,31,-,-
tb69,91,Dominic Thiem,/en/players/dominic-thiem/tb69/overview,655,-,25,-,-
k0az,92,Aleksandar Kovacevic,/en/players/aleksandar-kovacevic/k0az/overview,654,-,30,38,-
n0ae,93,Brandon Nakashima,/en/players/brandon-nakashima/n0ae/overview,645,-25,28,25,20
w09g,94,J.J. Wolf,/en/players/j.j.-wolf/w09g/overview,640,-,23,10,10
mn13,95,Maximilian Marterer,/en/players/maximilian-marterer/mn13/overview,637,+25,23,29,-
r09x,96,Jurij Rodionov,/en/players/jurij-rodionov/r09x/overview,631,-25,25,-,-
t0a1,97,Thiago Agustin Tirante,/en/players/thiago-agustin-tirante/t0a1/overview,616,+18,28,8,7
bd06,98,Roberto Bautista Agut,/en/players/roberto-bautista-agut/bd06/overview,614,+3,27,-,-
kd46,99,Thanasi Kokkinakis,/en/players/thanasi-kokkinakis/kd46/overview,609,-36,24,56,16
lb66,100,Constant Lestienne,/en/players/constant-lestienne/lb66/overview,606,+2,35,-,-
n897,101,Sumit Nagal,/en/players/sumit-nagal/n897/overview,603,-9,24,-,-
r772,102,Albert Ramos-Vinolas,/en/players/albert-ramos-vinolas/r772/overview,588,+5,32,-,-
bs86,103,Tomas Barrios Vera,/en/players/tomas-barrios-vera/bs86/overview,588,+25,28,30,-
hb64,104,Quentin Halys,/en/players/quentin-halys/hb64/overview,580,-10,22,70,-
mw02,105,Corentin Moutet,/en/players/corentin-moutet/mw02/overview,577,+113,29,-,-
p09o,106,Zsombor Piros,/en/players/zsombor-piros/p09o/overview,572,-,31,9,8
d994,107,James Duckworth,/en/players/james-duckworth/d994/overview,569,-1,24,-,-
f510,108,Fabio Fognini,/en/players/fabio-fognini/f510/overview,568,-,20,10,-
pd31,109,Benoit Paire,/en/players/benoit-paire/pd31/overview,565,-,37,100,8
v836,110,Juan Pablo Varillas,/en/players/juan-pablo-varillas/v836/overview,562,+25,24,-,-
s0la,111,Dominic Stricker,/en/players/dominic-stricker/s0la/overview,557,-,18,30,-
gb88,112,David Goffin,/en/players/david-goffin/gb88/overview,553,-,28,-,-
mj08,113,Thiago Monteiro,/en/players/thiago-monteiro/mj08/overview,552,-39,24,10,6
c0df,114,Francisco Comesana,/en/players/francisco-comesana/c0df/overview,552,-,29,33,14
gh92,115,Borna Gojo,/en/players/borna-gojo/gh92/overview,548,-30,19,26,-
ki82,116,Vit Kopriva,/en/players/vit-kopriva/ki82/overview,548,-,24,30,-
sm37,117,Diego Schwartzman,/en/players/diego-schwartzman/sm37/overview,538,-,27,25,-
g628,118,Richard Gasquet,/en/players/richard-gasquet/g628/overview,538,-,35,40,23
m0jf,119,Hamad Medjedovic,/en/players/hamad-medjedovic/m0jf/overview,532,-9,18,50,-
a0cj,120,Duje Ajdukovic,/en/players/duje-ajdukovic/a0cj/overview,528,-,28,-,-
bk24,121,Gregoire Barrere,/en/players/gregoire-barrere/bk24/overview,516,+3,31,-,-
bu13,122,Zizou Bergs,/en/players/zizou-bergs/bu13/overview,513,-11,22,-,-
n0bg,123,Luca Nardi,/en/players/luca-nardi/n0bg/overview,513,-60,25,-,-
wb08,124,Yosuke Watanuki,/en/players/yosuke-watanuki/wb08/overview,512,-,21,-,-
mp01,125,Michael Mmoh,/en/players/michael-mmoh/mp01/overview,507,-20,18,-,-
v0am,126,Otto Virtanen,/en/players/otto-virtanen/v0am/overview,505,+25,26,75,-
u182,127,Camilo Ugo Carabelli,/en/players/camilo-ugo-carabelli/u182/overview,494,-6,21,23,-
bi23,128,Liam Broady,/en/players/liam-broady/bi23/overview,492,-,25,16,-
d0f6,129,Gabriel Diallo,/en/players/gabriel-diallo/d0f6/overview,488,-,26,-,-
mv14,130,Alex Molcan,/en/players/alex-molcan/mv14/overview,486,+13,24,45,-
