,pid,rank,name,link,points_moved,tourneys_played,points_losing,points_gaining
0,d643,1,Novak Djokovic,/en/players/novak-djokovic/d643/overview,-,19,180,-
1,a0e2,2,Carlos Alcaraz,/en/players/carlos-alcaraz/a0e2/overview,-300,18,-,-
2,s0ag,3,Jannik Sinner,/en/players/jannik-sinner/s0ag/overview,-,20,-,-
3,mm58,4,Daniil Medvedev,/en/players/daniil-medvedev/mm58/overview,-250,19,500,-
4,re44,5,Andrey Rublev,/en/players/andrey-rublev/re44/overview,+5,24,300,45
5,z355,6,Alexander Zverev,/en/players/alexander-zverev/z355/overview,+55,26,180,45
6,r0dg,7,Holger Rune,/en/players/holger-rune/r0dg/overview,-,23,180,10
7,hb71,8,Hubert Hurkacz,/en/players/hubert-hurkacz/hb71/overview,-205,24,90,10
8,dh58,9,Alex de Minaur,/en/players/alex-de-minaur/dh58/overview,-,25,500,45
9,fb98,10,Taylor Fritz,/en/players/taylor-fritz/fb98/overview,-,25,180,45
10,fb98,10,Taylor Fritz,/en/players/taylor-fritz/fb98/overview,-,25,180,45
11,rh16,11,Casper Ruud,/en/players/casper-ruud/rh16/overview,+155,24,-,-
12,te51,12,Stefanos Tsitsipas,/en/players/stefanos-tsitsipas/te51/overview,+90,24,-,-
13,d875,13,Grigor Dimitrov,/en/players/grigor-dimitrov/d875/overview,-,23,-,-
14,pl56,14,Tommy Paul,/en/players/tommy-paul/pl56/overview,-,27,300,45
15,ke29,15,Karen Khachanov,/en/players/karen-khachanov/ke29/overview,+250,23,-,-
16,td51,16,Frances Tiafoe,/en/players/frances-tiafoe/td51/overview,-,23,90,10
17,s0s1,17,Ben Shelton,/en/players/ben-shelton/s0s1/overview,-,27,-,-
18,hh26,18,Ugo Humbert,/en/players/ugo-humbert/hh26/overview,-,29,75,50
19,me82,19,Adrian Mannarino,/en/players/adrian-mannarino/me82/overview,-,29,-,-
20,c0au,20,Francisco Cerundolo,/en/players/francisco-cerundolo/c0au/overview,+155,27,-,-
21,b0bi,21,Sebastian Baez,/en/players/sebastian-baez/b0bi/overview,+410,30,90,10
22,j551,22,Nicolas Jarry,/en/players/nicolas-jarry/j551/overview,-190,24,250,10
23,bk92,23,Alexander Bublik,/en/players/alexander-bublik/bk92/overview,-40,30,45,10
24,dh50,24,Alejandro Davidovich Fokina,/en/players/alejandro-davidovich-fokina/dh50/overview,-35,25,45,10
25,sl28,25,Jan-Lennard Struff,/en/players/jan-lennard-struff/sl28/overview,-,27,25,25
26,m0ej,26,Lorenzo Musetti,/en/players/lorenzo-musetti/m0ej/overview,-,29,-,-
27,ea24,27,Tomas Martin Etcheverry,/en/players/tomas-martin-etcheverry/ea24/overview,-,29,150,15
28,gj37,28,Tallon Griekspoor,/en/players/tallon-griekspoor/gj37/overview,-,26,45,20
29,n771,29,Cameron Norrie,/en/players/cameron-norrie/n771/overview,-300,25,-,-
30,ag37,30,Felix Auger-Aliassime,/en/players/felix-auger-aliassime/ag37/overview,-80,22,45,-
31,cg80,31,Borna Coric,/en/players/borna-coric/cg80/overview,-,24,90,10
32,tc61,32,Jordan Thompson,/en/players/jordan-thompson/tc61/overview,+175,28,-,-
33,k0ah,33,Sebastian Korda,/en/players/sebastian-korda/k0ah/overview,-,22,-,-
34,e865,34,Christopher Eubanks,/en/players/christopher-eubanks/e865/overview,-,24,-,-
35,db63,35,Laslo Djere,/en/players/laslo-djere/db63/overview,+5,25,45,10
36,l0bv,36,Jiri Lehecka,/en/players/jiri-lehecka/l0bv/overview,-70,28,-,-
37,o513,37,Sebastian Ofner,/en/players/sebastian-ofner/o513/overview,-,31,-,-
38,p09z,38,Alexei Popyrin,/en/players/alexei-popyrin/p09z/overview,+90,25,-,-
39,sx50,39,Roman Safiullin,/en/players/roman-safiullin/sx50/overview,-,21,-,-
40,kc56,40,Aslan Karatsev,/en/players/aslan-karatsev/kc56/overview,-,17,-,-
41,e687,41,Daniel Evans,/en/players/daniel-evans/e687/overview,+25,27,-,-
42,a0fc,42,Matteo Arnaldi,/en/players/matteo-arnaldi/a0fc/overview,-,25,-,-
