,pid,lname,fname,birthcity,birthcountry,coach,birthdate,age,nationality,height,weight,playhand,backhand,proyear,active
0,d643,Djokovic,Novak,Belgrade,Serbia,Goran Ivanisevic,1987-05-22,36,Serbia,188,77,R,2,2003,A
1,a0e2,Alcaraz,Carlos,El Palmar,Murcia,Juan Carlos Ferrero,2003-05-05,20,Spain,183,74,R,2,2018,A
2,s0ag,Sinner,Jannik,San Candido,Italy,"Simone Vagnozzi, Darren Cahill",2001-08-16,22,Italy,188,76,R,2,2018,A
3,mm58,Medvedev,Daniil,Moscow,Russia,Gilles Cervara,1996-02-11,28,Russia,198,83,R,2,2014,A
4,re44,Rublev,Andrey,Moscow,Russia,"Fernando Vicente, Alberto Martin",1997-10-20,26,Russia,188,75,R,2,2014,A
5,z355,Zverev,Alexander,Hamburg,Germany,Alexander Zverev Sr.,1997-04-20,26,Germany,198,90,R,2,2013,A
6,r0dg,Rune,Holger,Gentofte,Denmark,"Patrick Mouratoglou, Kenneth Carlsen",2003-04-29,20,Denmark,188,77,R,2,2020,A
7,hb71,Hurkacz,Hubert,Wroclaw,Poland,Craig Boynton,1997-02-11,27,Poland,196,81,R,2,2015,A
8,dh58,de Minaur,Alex,Sydney,Australia,Adolfo Gutierrez,1999-02-17,25,Australia,183,69,R,2,2015,A
9,fb98,Fritz,Taylor,Rancho Santa Fe,CA,"Michael Russell, Paul Annacone",1997-10-28,26,United States,196,86,R,2,2015,A
10,fb98,Fritz,Taylor,Rancho Santa Fe,CA,"Michael Russell, Paul Annacone",1997-10-28,26,United States,196,86,R,2,2015,A
11,rh16,Ruud,Casper,Oslo,Norway,"Christian Ruud , Pedro Clar",1998-12-22,25,Norway,183,81,R,2,2015,A
12,te51,Tsitsipas,Stefanos,Athens,Greece,Apostolos Tsitsipas,1998-08-12,25,Greece,193,90,R,1,2016,A
13,d875,Dimitrov,Grigor,Haskovo,Bulgaria,"Daniel Vallverdu, Jamie Delgado",1991-05-16,32,Bulgaria,191,81,R,1,2008,A
14,pl56,Paul,Tommy,Voorhees,NJ,Brad Stine,1997-05-17,26,United States,185,82,R,2,2015,A
15,ke29,Khachanov,Karen,Moscow,Russia,"Jose Clavet, Vedran Martic",1996-05-21,27,Russia,198,87,R,2,2013,A
16,td51,Tiafoe,Frances,Hyattsville,MD,Diego Moyano,1998-01-20,26,United States,188,86,R,2,2015,A
17,s0s1,Shelton,Ben,Atlanta,GA,"Father, Bryan Shelton",2002-10-09,21,United States,193,88,L,2,2022,A
18,hh26,Humbert,Ugo,Metz,France,Jeremy Chardy,1998-06-26,25,France,188,73,L,2,2016,A
19,me82,Mannarino,Adrian,Soisy-sous-Montmorency,France,Erwann Tortuyaux,1988-06-29,35,France,180,79,L,2,2004,A
20,c0au,Cerundolo,Francisco,Buenos Aires,Argentina,Kevin Konfederak,1998-08-13,25,Argentina,185,80,R,2,2018,A
21,b0bi,Baez,Sebastian,Buenos Aires,Argentina,Sebastian Gutierrez,2000-12-28,23,Argentina,170,70,R,2,2018,A
22,j551,Jarry,Nicolas,Santiago,Chile,"Juan Ignacio Chela, Cesar Fabregas",1995-10-11,28,Chile,198,90,R,2,2014,A
23,bk92,Bublik,Alexander,Gatchina,Russia,Artem Suprunov,1997-06-17,26,Kazakhstan,196,82,R,2,2016,A
24,dh50,Davidovich Fokina,Alejandro,Malaga,Spain,Jorge Aguirre,1999-06-05,24,Spain,183,78,R,2,2017,A
25,sl28,Struff,Jan-Lennard,Warstein,Germany,Carsten Arriens,1990-04-25,33,Germany,193,92,R,2,2009,A
26,m0ej,Musetti,Lorenzo,Carrara,Italy,Simone Tartarini ,2002-03-03,21,Italy,185,78,R,1,2019,A
27,ea24,Etcheverry,Tomas Martin,La Plata,Argentina,Walter Grinovero,1999-07-18,24,Argentina,196,82,R,2,2017,A
28,gj37,Griekspoor,Tallon,Haarlem,Netherlands,Kristof Vliegen,1996-07-02,27,Netherlands,188,85,R,2,2015,A
29,n771,Norrie,Cameron,Johannesburg,South Africa,Facundo Lugones,1995-08-23,28,Great Britain,188,82,L,2,2017,A
30,ag37,Auger-Aliassime,Felix,Montreal,Canada,"Frederic Fontang, Toni Nadal",2000-08-08,23,Canada,193,88,R,2,2017,A
31,cg80,Coric,Borna,Zagreb,Croatia,Liam Smith,1996-11-14,27,Croatia,188,85,R,2,2013,A
32,tc61,Thompson,Jordan,Sydney,Australia,Marinko Matosevic,1994-04-20,29,Australia,183,82,R,2,2013,A
33,k0ah,Korda,Sebastian,Bradenton,FL,"Radek Stepanek, Martin Stepanek ",2000-07-05,23,United States,196,82,R,2,2018,A
34,e865,Eubanks,Christopher,Atlanta,GA,Ruan Roelofse,1996-05-05,27,United States,201,82,R,1,2017,A
35,db63,Djere,Laslo,Senta,Serbia,Jaroslav Levinsky,1995-06-02,28,Serbia,188,82,R,2,2013,A
36,l0bv,Lehecka,Jiri,Mlada Boleslav,Czech Republic,Michal Navratil,2001-11-08,22,Czech Republic,185,81,R,2,2020,A
37,o513,Ofner,Sebastian,Bruck an der Mur,Austria,"Stefan Rettl, Wolfgang Thiem",1996-05-12,27,Austria,191,81,R,2,2015,A
38,p09z,Popyrin,Alexei,Sydney,Australia,"Neville Godwin, Xavier Malisse",1999-08-05,24,Australia,196,78,R,2,2017,A
39,sx50,Safiullin,Roman,Podolsk,Russia,Andrey Kuznetsov,1997-08-07,26,Russia,185,75,R,2,2015,A
40,kc56,Karatsev,Aslan,Vladikavkaz,Russia,,1993-09-04,30,Russia,185,85,R,2,2011,A
41,e687,Evans,Daniel,Birmingham,England,,1990-05-23,33,Great Britain,175,75,R,1,2006,A
42,a0fc,Arnaldi,Matteo,Sanremo,Italy,Alessandro Petrone,2001-02-22,23,Italy,185,71,R,2,2019,A
43,rh24,Ruusuvuori,Emil,Helsinki,Finland,Federico Ricci,1999-04-02,24,Finland,188,79,R,2,2018,A
44,f0f1,Fils,Arthur,Bondoufle,France,"Sergi Bruguera, Sebastien Grosjean",2004-06-12,19,France,185,83,R,2,2021,A
45,gc88,Giron,Marcos,Thousand Oaks,CA,"Karue Sell, Maxime Tabatruong",1993-07-24,30,United States,180,77,R,2,2014,A
46,z371,Zhang,Zhizhen,Shanghai,China,Yen-Hsun Lu,1996-10-16,27,China,193,87,R,2,2012,A
47,s0h2,Shevchenko,Alexander,Rostov-on-Don,Russia,Timur Maulenov,2000-11-29,23,Kazakhstan,185,75,R,2,2018,A
48,su87,Sonego,Lorenzo,Turin,Italy,Gipo Arbino,1995-05-11,28,Italy,191,76,R,2,2013,A
49,h997,Hanfmann,Yannick,Karlsruhe,Germany,Juan Pablo Brzezicki,1991-11-13,32,Germany,193,86,R,2,2015,A
50,d0co,Draper,Jack,Sutton,England,James Trotman,2001-12-22,22,Great Britain,193,85,L,2,2018,A
51,te30,Tabilo,Alejandro,Toronto,Canada,Guillermo Gomez,1997-06-02,26,Chile,188,75,L,2,2015,A
52,d0cg,Diaz Acosta,Facundo,Buenos Aires,Argentina,"Mariano Monachesi, Mariano Hood",2000-12-15,23,Argentina,183,75,L,2,2018,A
53,ki95,Kecmanovic,Miomir,Belgrade,Serbia,"Wayne Black, Ivan Cinkus",1999-08-31,24,Serbia,183,75,R,2,2017,A
54,mc65,Monfils,Gael,Paris,France,Peter Lucassen/Mikael Tillstrom,1986-09-01,37,France,193,85,R,2,2004,A
55,l987,Lajovic,Dusan,Belgrade,Serbia,Jose Perlas,1990-06-30,33,Serbia,183,83,R,1,2007,A
56,bt72,Borges,Nuno,Maia,Portugal,"Rui Machado, Hugo Anao",1997-02-19,27,Portugal,185,78,R,2,2019,A
57,ae14,Altmaier,Daniel,Kempen,Germany,Alberto Mancini,1998-09-12,25,Germany,188,80,R,1,2014,A
58,ke73,Koepfer,Dominik,Furtwangen,Germany,"Rhyne Williams, Billy Heiser",1994-04-29,29,Germany,180,79,L,2,2016,A
59,m0ci,Marozsan,Fabian,Budapest,Hungary,Gyorgy Balazs,1999-10-08,24,Hungary,193,75,R,2,2017,A
60,n0bs,Navone,Mariano,,,Andres Dellatorre,2001-02-27,22,Argentina,178,73,R,2,,A
61,mk66,McDonald,Mackenzie,Piedmont,CA,,1995-04-16,28,United States,178,73,R,2,2016,A
62,ph71,Purcell,Max,Sydney,Australia,,1998-04-03,25,Australia,185,80,R,2,2016,A
63,k09f,Kotov,Pavel,Moscow,Russia,"Liliya Kotova, Mikhail Bril",1998-11-18,25,Russia,191,89,R,2,2016,A
64,da81,Daniel,Taro,New York,NY,,1993-01-27,31,Japan,191,84,R,2,2010,A
65,m0fh,Machac,Tomas,Beroun,Czech Republic,Daniel Vacek,2000-10-13,23,Czech Republic,183,74,R,2,2017,A
66,cf59,Carballes Baena,Roberto,Tenerife,Spain,Jose Maria Garrido Ros,1993-03-23,30,Spain,183,77,R,2,2011,A
67,mc10,Murray,Andy,Glasgow,Scotland,Ivan Lendl,1987-05-15,36,Great Britain,191,82,R,2,2005,A
