pid,rank,name,link,points,points_moved,tourneys_played,points_losing,points_gaining
d643,1,Novak Djokovic,/en/players/novak-djokovic/d643/overview,"9,855",-,19,180,-
a0e2,2,Carlos Alcaraz,/en/players/carlos-alcaraz/a0e2/overview,"8,805",-300,18,-,-
s0ag,3,Jannik Sinner,/en/players/jannik-sinner/s0ag/overview,"8,270",-,20,-,-
mm58,4,Daniil Medvedev,/en/players/daniil-medvedev/mm58/overview,"8,015",-250,19,500,-
re44,5,Andrey Rublev,/en/players/andrey-rublev/re44/overview,"5,110",+5,24,300,45
z355,6,Alexander Zverev,/en/players/alexander-zverev/z355/overview,"5,085",+55,26,180,45
r0dg,7,Holger Rune,/en/players/holger-rune/r0dg/overview,"3,700",-,23,180,10
hb71,8,Hubert Hurkacz,/en/players/hubert-hurkacz/hb71/overview,"3,395",-205,24,90,10
dh58,9,Alex de Minaur,/en/players/alex-de-minaur/dh58/overview,"3,210",-,25,500,45
fb98,10,Taylor Fritz,/en/players/taylor-fritz/fb98/overview,"3,150",-,25,180,45
fb98,10,Taylor Fritz,/en/players/taylor-fritz/fb98/overview,"3,150",-,25,180,45
rh16,11,Casper Ruud,/en/players/casper-ruud/rh16/overview,"3,120",+155,24,-,-
te51,12,Stefanos Tsitsipas,/en/players/stefanos-tsitsipas/te51/overview,"3,080",+90,24,-,-
d875,13,Grigor Dimitrov,/en/players/grigor-dimitrov/d875/overview,"2,925",-,23,-,-
pl56,14,Tommy Paul,/en/players/tommy-paul/pl56/overview,"2,375",-,27,300,45
ke29,15,Karen Khachanov,/en/players/karen-khachanov/ke29/overview,"2,260",+250,23,-,-
td51,16,Frances Tiafoe,/en/players/frances-tiafoe/td51/overview,"2,155",-,23,90,10
s0s1,17,Ben Shelton,/en/players/ben-shelton/s0s1/overview,"2,055",-,27,-,-
hh26,18,Ugo Humbert,/en/players/ugo-humbert/hh26/overview,"1,990",-,29,75,50
me82,19,Adrian Mannarino,/en/players/adrian-mannarino/me82/overview,"1,950",-,29,-,-
c0au,20,Francisco Cerundolo,/en/players/francisco-cerundolo/c0au/overview,"1,840",+155,27,-,-
b0bi,21,Sebastian Baez,/en/players/sebastian-baez/b0bi/overview,"1,825",+410,30,90,10
j551,22,Nicolas Jarry,/en/players/nicolas-jarry/j551/overview,"1,775",-190,24,250,10
bk92,23,Alexander Bublik,/en/players/alexander-bublik/bk92/overview,"1,699",-40,30,45,10
dh50,24,Alejandro Davidovich Fokina,/en/players/alejandro-davidovich-fokina/dh50/overview,"1,540",-35,25,45,10
sl28,25,Jan-Lennard Struff,/en/players/jan-lennard-struff/sl28/overview,"1,531",-,27,25,25
m0ej,26,Lorenzo Musetti,/en/players/lorenzo-musetti/m0ej/overview,"1,480",-,29,-,-
ea24,27,Tomas Martin Etcheverry,/en/players/tomas-martin-etcheverry/ea24/overview,"1,470",-,29,150,15
gj37,28,Tallon Griekspoor,/en/players/tallon-griekspoor/gj37/overview,"1,440",-,26,45,20
n771,29,Cameron Norrie,/en/players/cameron-norrie/n771/overview,"1,380",-300,25,-,-
ag37,30,Felix Auger-Aliassime,/en/players/felix-auger-aliassime/ag37/overview,"1,340",-80,22,45,-
cg80,31,Borna Coric,/en/players/borna-coric/cg80/overview,"1,274",-,24,90,10
tc61,32,Jordan Thompson,/en/players/jordan-thompson/tc61/overview,"1,246",+175,28,-,-
k0ah,33,Sebastian Korda,/en/players/sebastian-korda/k0ah/overview,"1,245",-,22,-,-
e865,34,Christopher Eubanks,/en/players/christopher-eubanks/e865/overview,"1,234",-,24,-,-
db63,35,Laslo Djere,/en/players/laslo-djere/db63/overview,"1,225",+5,25,45,10
l0bv,36,Jiri Lehecka,/en/players/jiri-lehecka/l0bv/overview,"1,180",-70,28,-,-
o513,37,Sebastian Ofner,/en/players/sebastian-ofner/o513/overview,"1,091",-,31,-,-
p09z,38,Alexei Popyrin,/en/players/alexei-popyrin/p09z/overview,"1,087",+90,25,-,-
sx50,39,Roman Safiullin,/en/players/roman-safiullin/sx50/overview,"1,080",-,21,-,-
kc56,40,Aslan Karatsev,/en/players/aslan-karatsev/kc56/overview,"1,073",-,17,-,-
e687,41,Daniel Evans,/en/players/daniel-evans/e687/overview,"1,066",+25,27,-,-
a0fc,42,Matteo Arnaldi,/en/players/matteo-arnaldi/a0fc/overview,"1,061",-,25,-,-
rh24,43,Emil Ruusuvuori,/en/players/emil-ruusuvuori/rh24/overview,"1,041",+30,27,-,-
f0f1,44,Arthur Fils,/en/players/arthur-fils/f0f1/overview,"1,028",-90,24,-,-
gc88,45,Marcos Giron,/en/players/marcos-giron/gc88/overview,"1,015",+15,29,-,-
z371,46,Zhizhen Zhang,/en/players/zhizhen-zhang/z371/overview,"1,006",+15,26,-,-
s0h2,47,Alexander Shevchenko,/en/players/alexander-shevchenko/s0h2/overview,"1,000",-,33,-,-
su87,48,Lorenzo Sonego,/en/players/lorenzo-sonego/su87/overview,975,-,27,90,10
h997,49,Yannick Hanfmann,/en/players/yannick-hanfmann/h997/overview,967,+40,27,57,10
d0co,50,Jack Draper,/en/players/jack-draper/d0co/overview,951,-,19,-,-
te30,51,Alejandro Tabilo,/en/players/alejandro-tabilo/te30/overview,951,-10,24,-,-
d0cg,52,Facundo Diaz Acosta,/en/players/facundo-diaz-acosta/d0cg/overview,948,+41,28,-,-
ki95,53,Miomir Kecmanovic,/en/players/miomir-kecmanovic/ki95/overview,940,-,31,-,-
mc65,54,Gael Monfils,/en/players/gael-monfils/mc65/overview,937,+100,22,-,-
l987,55,Dusan Lajovic,/en/players/dusan-lajovic/l987/overview,922,+10,23,45,-
bt72,56,Nuno Borges,/en/players/nuno-borges/bt72/overview,922,-75,28,45,10
ae14,57,Daniel Altmaier,/en/players/daniel-altmaier/ae14/overview,921,-15,28,-,-
ke73,58,Dominik Koepfer,/en/players/dominik-koepfer/ke73/overview,918,-,24,-,-
m0ci,59,Fabian Marozsan,/en/players/fabian-marozsan/m0ci/overview,914,+18,27,-,-
n0bs,60,Mariano Navone,/en/players/mariano-navone/n0bs/overview,906,+355,26,-,-
mk66,61,Mackenzie McDonald,/en/players/mackenzie-mcdonald/mk66/overview,895,-,27,90,10
ph71,62,Max Purcell,/en/players/max-purcell/ph71/overview,886,-75,31,100,10
k09f,63,Pavel Kotov,/en/players/pavel-kotov/k09f/overview,878,+19,22,65,6
da81,64,Taro Daniel,/en/players/taro-daniel/da81/overview,870,-,28,110,13
m0fh,65,Tomas Machac,/en/players/tomas-machac/m0fh/overview,863,-,23,20,-
cf59,66,Roberto Carballes Baena,/en/players/roberto-carballes-baena/cf59/overview,851,-,31,20,-
mc10,67,Andy Murray,/en/players/andy-murray/mc10/overview,845,-125,26,-,-
o483,68,Christopher O'Connell,/en/players/christopher-o'connell/o483/overview,834,-20,31,65,16
c0e9,69,Flavio Cobolli,/en/players/flavio-cobolli/c0e9/overview,825,-,33,-,-
mu94,70,Jaume Munar,/en/players/jaume-munar/mu94/overview,816,+40,30,90,10
v832,71,Aleksandar Vukic,/en/players/aleksandar-vukic/v832/overview,809,+17,31,16,8
v0dz,72,Luca Van Assche,/en/players/luca-van-assche/v0dz/overview,808,-,24,125,10
sx91,73,Thiago Seyboth Wild,/en/players/thiago-seyboth-wild/sx91/overview,802,+94,25,-,-
w367,74,Stan Wawrinka,/en/players/stan-wawrinka/w367/overview,797,-45,21,-,-
v812,75,Botic van de Zandschulp,/en/players/botic-van-de-zandschulp/v812/overview,790,-20,25,90,-
m0qi,76,Alex Michelsen,/en/players/alex-michelsen/m0qi/overview,776,-,27,30,8
f724,77,Marton Fucsovics,/en/players/marton-fucsovics/f724/overview,757,+25,22,-,-
cg04,78,Pedro Cachin,/en/players/pedro-cachin/cg04/overview,754,-,29,-,-
h0bh,79,Rinky Hijikata,/en/players/rinky-hijikata/h0bh/overview,752,+15,30,-,-
d0fj,80,Luciano Darderi,/en/players/luciano-darderi/d0fj/overview,747,-,30,10,-
mp20,81,Alexandre Muller,/en/players/alexandre-muller/mp20/overview,729,-44,30,50,10
n732,82,Yoshihito Nishioka,/en/players/yoshihito-nishioka/n732/overview,725,+25,23,-,-
gd64,83,Cristian Garin,/en/players/cristian-garin/gd64/overview,710,+50,23,20,-
ge33,84,Daniel Elahi Galan,/en/players/daniel-elahi-galan/ge33/overview,709,-35,30,-,-
g09o,85,Hugo Gaston,/en/players/hugo-gaston/g09o/overview,704,-9,29,-,-
c0h0,86,Arthur Cazaux,/en/players/arthur-cazaux/c0h0/overview,701,-,25,-,-
m0ni,87,Jakub Mensik,/en/players/jakub-mensik/m0ni/overview,701,+165,22,-,-
ce77,88,Federico Coria,/en/players/federico-coria/ce77/overview,678,-,30,-,-
n0ae,89,Brandon Nakashima,/en/players/brandon-nakashima/n0ae/overview,670,+15,29,45,20
rc91,90,Arthur Rinderknech,/en/players/arthur-rinderknech/rc91/overview,665,-,29,45,10
r09x,91,Jurij Rodionov,/en/players/jurij-rodionov/r09x/overview,656,-8,26,25,-
tb69,92,Dominic Thiem,/en/players/dominic-thiem/tb69/overview,655,-,26,-,-
k0az,93,Aleksandar Kovacevic,/en/players/aleksandar-kovacevic/k0az/overview,654,+38,30,75,-
kd46,94,Thanasi Kokkinakis,/en/players/thanasi-kokkinakis/kd46/overview,645,+41,25,45,9
w09g,95,J.J. Wolf,/en/players/j.j.-wolf/w09g/overview,640,-,24,-,-
mn13,96,Maximilian Marterer,/en/players/maximilian-marterer/mn13/overview,612,-4,23,-,-
n897,97,Sumit Nagal,/en/players/sumit-nagal/n897/overview,612,-2,24,9,-
bd06,98,Roberto Bautista Agut,/en/players/roberto-bautista-agut/bd06/overview,611,-10,26,-,-
lb66,99,Constant Lestienne,/en/players/constant-lestienne/lb66/overview,604,-,35,-,-
t0a1,100,Thiago Agustin Tirante,/en/players/thiago-agustin-tirante/t0a1/overview,598,-,27,-,-
mo44,101,Pedro Martinez,/en/players/pedro-martinez/mo44/overview,596,-36,31,-,-
mj08,102,Thiago Monteiro,/en/players/thiago-monteiro/mj08/overview,591,+55,25,45,6
hb64,103,Quentin Halys,/en/players/quentin-halys/hb64/overview,590,+8,23,10,-
r772,104,Albert Ramos-Vinolas,/en/players/albert-ramos-vinolas/r772/overview,583,-40,32,-,-
gh92,105,Borna Gojo,/en/players/borna-gojo/gh92/overview,578,-75,20,30,-
n0bg,106,Luca Nardi,/en/players/luca-nardi/n0bg/overview,573,-20,26,60,-
p09o,107,Zsombor Piros,/en/players/zsombor-piros/p09o/overview,572,-,31,-,-
d994,108,James Duckworth,/en/players/james-duckworth/d994/overview,570,-51,25,9,8
f510,109,Fabio Fognini,/en/players/fabio-fognini/f510/overview,568,-45,21,-,-
pd31,110,Benoit Paire,/en/players/benoit-paire/pd31/overview,565,-3,37,-,-
bs86,111,Tomas Barrios Vera,/en/players/tomas-barrios-vera/bs86/overview,563,+30,27,-,-
s0la,112,Dominic Stricker,/en/players/dominic-stricker/s0la/overview,557,-75,18,-,-
gb88,113,David Goffin,/en/players/david-goffin/gb88/overview,553,-8,28,-,-
c0df,114,Francisco Comesana,/en/players/francisco-comesana/c0df/overview,552,+18,28,-,-
ki82,115,Vit Kopriva,/en/players/vit-kopriva/ki82/overview,548,+13,24,-,-
m0jf,116,Hamad Medjedovic,/en/players/hamad-medjedovic/m0jf/overview,541,-36,19,9,-
sm37,117,Diego Schwartzman,/en/players/diego-schwartzman/sm37/overview,538,-,27,-,-
g628,118,Richard Gasquet,/en/players/richard-gasquet/g628/overview,538,+19,34,-,-
v836,119,Juan Pablo Varillas,/en/players/juan-pablo-varillas/v836/overview,537,-45,24,-,-
su55,120,Denis Shapovalov,/en/players/denis-shapovalov/su55/overview,530,-,21,45,-
